batsman,total_runs,out,numberofballs,average,strikerate
T Curran,23,3,27,7.6666666667,85.1851851852
J Arunkumar,23,3,23,7.6666666667,100
SW Tait,23,3,26,7.6666666667,88.4615384615
MS Wade,22,3,33,7.3333333333,66.6666666667
NJ Maddinson,20,3,21,6.6666666667,95.2380952381
R Bishnoi,19,3,17,6.3333333333,111.7647058824
Vishnu Vinod,19,3,26,6.3333333333,73.0769230769
AS Rajpoot,17,3,30,5.6666666667,56.6666666667
CK Kapugedera,16,3,23,5.3333333333,69.5652173913
S Mavi,13,3,15,4.3333333333,86.6666666667
Swapnil Singh,12,3,20,4,60
S Kaul,12,3,28,4,42.8571428571
T Kohli,11,3,19,3.6666666667,57.8947368421
TS Mills,8,3,11,2.6666666667,72.7272727273
AF Milne,7,3,12,2.3333333333,58.3333333333
P Awana,5,3,14,1.6666666667,35.7142857143
M Ashwin,4,3,8,1.3333333333,50
A Turner,3,3,10,1,30
A Flintoff,62,2,53,31,116.9811320755
J Suchith,54,2,46,27,117.3913043478
AB Barath,42,2,42,21,100
LPC Silva,40,2,25,20,160
SP Jackson,38,2,31,19,122.5806451613
A Kumble,35,2,46,17.5,76.0869565217
AP Dole,34,2,22,17,154.5454545455
Basil Thampi,32,2,33,16,96.9696969697
S Sriram,31,2,36,15.5,86.1111111111
J Syed Mohammad,29,2,26,14.5,111.5384615385
VH Zol,29,2,26,14.5,111.5384615385
SB Jakati,28,2,29,14,96.5517241379
M Lomror,28,2,24,14,116.6666666667
JM Kemp,26,2,24,13,108.3333333333
A Choudhary,25,2,20,12.5,125
MA Khote,24,2,20,12,120
ER Dwivedi,24,2,14,12,171.4285714286
NS Naik,23,2,31,11.5,74.1935483871
GB Hogg,22,2,22,11,100
CA Ingram,21,2,26,10.5,80.7692307692
AC Thomas,20,2,19,10,105.2631578947
Harpreet Singh,20,2,26,10,76.9230769231
R Shukla,19,2,23,9.5,82.6086956522
DR Martyn,19,2,24,9.5,79.1666666667
